song,artist
Easy On Me,Adele
Stay,The Kid LAROI
Industry Baby,Lil Nas X
Fancy Like,Walker Hayes
Bad Habits,Ed Sheeran
Way 2 Sexy,Drake
Shivers,Ed Sheeran
Good 4 U,Olivia Rodrigo
Need To Know,Doja Cat
Levitating,Dua Lipa
Essence,Wizkid
Kiss Me More,Doja Cat
Heat Waves,Glass Animals
Beggin',Maneskin
Cold Heart (PNAU Remix),Elton John
You Right,Doja Cat
Save Your Tears,The Weeknd
If I Didn't Love You,Jason Aldean
Traitor,Olivia Rodrigo
My Universe,Coldplay
Who Want Smoke??,Nardo Wick
Knife Talk,Drake
Meet Me At Our Spot,THE ANXIETY: WILLOW
Montero (Call Me By Your Name),Lil Nas X
Chasing After You,Ryan Hurd
Girls Want Girls,Drake
Moth To A Flame,Swedish House Mafia
Let's Go Brandon,Bryson Gray
Thats What I Want,Lil Nas X
Pepas,Farruko
Love Nwantiti (Ah Ah Ah),CKay
Take My Breath,The Weeknd
Happier Than Ever,Billie Eilish
Wockesha,Moneybagg Yo
Better Days,NEIKED
Buy Dirt,Jordan Davis
Ghost,Justin Bieber
Lets Go Brandon,Loza Alexander
Cold As You,Luke Combs
A-O-K,Tai Verdes
You Should Probably Leave,Chris Stapleton
Leave The Door Open,Silk Sonic
Thinking 'Bout You,Dustin Lynch
Memory I Don't Mess With,Lee Brice
Bubbly,Young Thug
Wild Side,Normani
Sharing Locations,Meek Mill
Gyalis,Capella Grey
I Was On A Boat That Day,Old Dominion
Family Ties,Baby Keem
Have Mercy,Chloe
Fair Trade,Drake
Same Boat,Zac Brown Band
My Boy,Elvie Shane
Hurricane,Kanye West
Chosen,Blxst
Baddest,Yung Bleu
Knowing You,Kenny Chesney
Memory,Kane Brown
Cold Beer Calling My Name,Jameson Rodgers
Not In The Mood,Lil Tjay
Pissed Me Off,Lil Durk
Woman,Doja Cat
Sand In My Boots,Morgan Wallen
'Til You Can't,Cody Johnson
Love Again,Dua Lipa
Whiskey And Rain,Michael Ray
One Mississippi,Kane Brown
Switches & Dracs,Moneybagg Yo
Jugaste y Sufri,Eslabon Armado
Too Easy,Gunna
Esta Danada,Ivan Cornejo
Volvi,Aventura
Tequila Little Time,Jon Pardi
Whole Lotta Money,BIA
2055,Sleepy Hallow
Maybach,42 Dugg
WFM,Realestk
Poke It Out,Wale
Praise God,Kanye West
Lo Siento BB:/,Tainy
Freedom Was A Highway,Jimmie Allen
For Tonight,Giveon
Thot Shit,Megan Thee Stallion
Like A Lady,Lady A
Get Into It (Yuh),Doja Cat
Scorpio,Moneybagg Yo
Big Energy,Latto
Half Of My Hometown,Kelsea Ballerini
Money,Lisa
No Friends In The Industry,Drake
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme
Who's In Your Head,Jonas Brothers
In The Bible,Drake
Just About Over You,Priscilla Block
To Be Loved By You,Parker McCollum
Ain't Shit,Doja Cat
Life Goes On,Oliver Tree
Come Through,H.E.R.
Nevada,YoungBoy Never Broke Again
Leave Before You Love Me,Marshmello
Deja Vu,Olivia Rodrigo
Ex For A Reason,Summer Walker
Late At Night,Roddy Ricch
Livin It Up,Young Thug
Stressed,Young Thug
Rich N***a Shit,Young Thug
Yonaguni,Bad Bunny
Champagne Poetry,Drake
Let Somebody Go,Coldplay
You Time,Scotty McCreery
Peepin Out The Window,Young Thug
Woo Baby,Pop Smoke
Flocky Flocky,Don Toliver
Peaches,Justin Bieber
Todo de Ti,Rauw Alejandro
Drinkin' Beer. Talkin' God. Amen.,Chase Rice
Your Heart,Joyner Lucas
Summer Of Love,Shawn Mendes
Waves,Luke Bryan
Life Support,YoungBoy Never Broke Again
Bad Morning,YoungBoy Never Broke Again
Intro (Hate On Me),Meek Mill
Drunk (And I Don't Wanna Go Home),Elle King
Butter,BTS
Hot,Meek Mill
Expensive Pain,Meek Mill
On My Soul,Meek Mill
Blue Note$ II,Meek Mill
Outside (100 MPH),Meek Mill
Last One Standing,Skylar Grey
The Feels,TWICE
Me (FWM),Meek Mill
Love Train,Meek Mill
Feelin Like Tunechi,Lil Wayne
Ride For You,Meek Mill
TSU,Drake
Love All,Drake
No Where,YoungBoy Never Broke Again
On My Side,YoungBoy Never Broke Again
Things A Man Oughta Know,Lainey Wilson
Hold Me Down,YoungBoy Never Broke Again
50 Shots,YoungBoy Never Broke Again
Smoke Strong,YoungBoy Never Broke Again
Break Or Make Me,YoungBoy Never Broke Again
Sincerely,YoungBoy Never Broke Again
I Can't Take It Back,YoungBoy Never Broke Again
Rumors,Lizzo
Forgiato,YoungBoy Never Broke Again
Rich Shit,YoungBoy Never Broke Again
N 2 Deep,Drake
Baddest Thing,YoungBoy Never Broke Again
Pipe Down,Drake
Papi's Home,Drake
Toxic Punk,YoungBoy Never Broke Again
Moon,Kanye West
Wildest Dreams (Taylor's Version),Taylor Swift
Arcade,Duncan Laurence
Scoop,Lil Nas X
Dolla Sign Slime,Lil Nas X
Lonely,DaBaby
Dead Right Now,Lil Nas X
Tales Of Dominica,Lil Nas X
One Of Me,Lil Nas X
Race My Mind,Drake
Lost In The Citadel,Lil Nas X
Sun Goes Down,Lil Nas X
7am On Bridle Path,Drake
Off The Grid,Kanye West
In Da Getto,J Balvin
Skate,Silk Sonic
Am I Dreaming,Lil Nas X
Don't Go Yet,Camila Cabello
Country Again,Thomas Rhett
Range Brothers,Baby Keem
Every Chance I Get,DJ Khaled
IMY2,Drake
Yebba's Heartbreak,Drake
Get Along Better,Drake
You Only Live Twice,Drake
Lalisa,Lisa
Fountains,Drake
Single Saturday Night,Cole Swindell
We Didn't Have Much,Justin Moore
Jail,Kanye West
Fucking Fans,Drake
The Remorse,Drake
Ok Ok,Kanye West
Junya,Kanye West
Believe What I Say,Kanye West
Jonah,Kanye West
Jesus Lord,Kanye West
Motley Crew,Post Malone
Remote Control,Kanye West
God Breathed,Kanye West
Heartbreak Anniversary,Giveon
Forever After All,Luke Combs
Heaven And Hell,Kanye West
24,Kanye West
Pure Souls,Kanye West
No Child Left Behind,Kanye West
Donda,Kanye West
Keep My Spirit Alive,Kanye West
Jail Pt 2,Kanye West
"I Am Not A Woman, I'm A God",Halsey
New Again,Kanye West
Lord I Need You,Kanye West
Come To Life,Kanye West
Tell The Vision,Kanye West
Brutal,Olivia Rodrigo
AM,Nio Garcia
Repeat It,Lil Tecca
Matt Hardy 999,Trippie Redd
Blinding Lights,The Weeknd
Glad You Exist,Dan + Shay
Without You,The Kid LAROI
Astronaut In The Ocean,Masked Wolf
Rapstar,Polo G
Famous Friends,Chris Young + Kane Brown
Lil Bit,Nelly
Beautiful Mistakes,Maroon 5
Rich MF,Trippie Redd
Already Won,Rod Wave
Betrayal,Trippie Redd
Don't Go,Skrillex
Tombstone,Rod Wave
Visiting Hours,Ed Sheeran
Holy Smokes,Trippie Redd
Miss The Rage,Trippie Redd
You,Regard
