song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Mess,Lil Wayne,,6y4pOReFqH2wzo4CV91cZC,55,2018-09-28,day,0.641,0.579,9,-8.276,1,0.0896,0.479,9.58e-05,0.214,0.421,145.995,4,212428,"[Chorus]\nBecause my days is a mess\nMy nights is a mess, my life is a mess\nMy life is a mess of happiness\nLust, sex, obsession, desire with no love\nFuck it, my bae is a mess\nMy side bitch a mess, my wifey a mess\nI guess, my bae is obsessed\nMy side bitch possessed, my wifey careless\nBut you gon' have to excuse my mess\n[Verse 1]\nShe gon' have to excuse my ex\nI'ma have to excuse her pets\nShe gon' have to be juicy wet if she gon' ride on this Tune Express\nI'ma have to excuse her text\nShe gon' have to exclude the rest\nShe gon' have to tell dudes to step\nNigga, to the left, nigga, to the left\nMessy, messy on some Percocets\nSmoking purple veggie, that's my herbal essence\nWith a curvy, sexy woman hurting extra 'cause I'm working extra\nI just heard her lecture, but I swerved the questions\nAnd reserved a section with a bunch of bitches that prefer the pleasure\nIt's quarter-to-seven\nThey just heard the shower water runnin' in the morning\nDirty Devil, I'm a mess\n[Refrain]\nBut I'm sorry babe, but I gotta let go\nNow she feel like she on death row\nShe don't believe in ghosts 'til I get ghost\nAnd I can hear her teardrops echo\nHer teardrops turn into XO\nPut yourself in my shoes but you got to tiptoe\n[Chorus]\n'Cause my days is a mess\nMy nights is a mess, my life is a mess\nMy life is a mess\nMy life is a mess of happiness\nLust, sex, obsession, desire with no love\nBut fuck it, more ones\n, my bae is a mess\nMy side bitch a mess, my wifey a mess\nI guess, my bae is obsessed\nMy side bitch possessed, my wifey careless\nBut you gon' have to excuse my mess"
Let It All Work Out,Lil Wayne,,3BUWNzPWz2mDbptZmGEXpB,63,2018-09-28,day,0.551,0.562,11,-6.862,1,0.163,0.0218,0.0,0.302,0.438,135.872,4,316192,"[Intro: \nSampha\n & Lil Wayne]\nLet it all work out, let it all work out\nLet it all work out, let it all work out\nLet it all work out, let it all work out\nLet it all work out, let it all work out\nWork out, yeah\nI'm in this bitch\nYeah, was on the outside, looking in this bitch\nBut now I’m in this bitch\nYeah, I'm in this bitch\n[Verse 1: Lil Wayne]\nTunechi, you a genius\nLooked in the mirror said\n""Don't let the money come between us""\nI’m loaded, loaded at my earliest convenience\nBut fuck 'em, I feel like I got ten middle fingers\nI'm sippin', sippin' in this bitch and poppin' uppers\nGirl, take this, this that shit that give a flower color\nAnd some bitch named Wonder Woman told me not to wonder\nThe crumbs, you only see 'em when the cookie crumble\nReal shit, nigga, my candle still lit\nHad to swallow my pride, though, swear it tastes like spearmint\nBig up to my nigga with a strap on 'em\nI never turn my back on ’em\n’Cause nigga act like they cool with ya\nBut a lot of these niggas be transformers\nA lot of these players be bench-warmers\nThe game ain't easy, but it’s fair, nigga\nI'mma sit in this throne so long\n'Til it's a fucking rocking chair, nigga\nBad bitch play with my hair, nigga\nSaid, ""Relax, Tune, baby don’t stress out""\nBut I got a lot of shit on my mind, though\nShe said, ""Let that shit work itself out""\n""Let that shit work itself out"""
Start This Shit Off Right (feat. Ashanti & Mack Maine),Lil Wayne,"Ashanti,Mack Maine",6wqWfSOZvTK18SAczoYm1L,51,2018-09-28,day,0.865,0.568,0,-5.112,1,0.24,0.0206,0.0,0.186,0.882,90.986,4,280309,"[Chorus: Mack Maine]\nWe gon' start this shit off right (Off right)\nWe got bad-ass bitches in the house tonight\nWe gon' start this shit off right (Off right)\nWe got some bad-ass bitches in the house tonight\nWe gon' start this shit off right (Off right)\nWe got some bad-ass bitches in the house tonight\nWe gon' start this shit off right (Off right)\nWe got some bad-ass bitches in the house tonight\n[Post-Chorus: Mack Maine]\nWe got some bad-ass bitches, bad-ass bitches\nBitches outside, them some sad-ass bitches, leggo\n(Leggo, leggo, leggo, yeah, yeah, yeah, yeah)\nWe got some bad-ass bitches, bad-ass bitches\nBitches outside, them some sad ass-bitches, leggo\n(Leggo, yeah, leggo, yeah, yeah, yeah, Ashanti)\n[Bridge: Ashanti]\nLuh-uh-uh-uh-uh-uh-huh\nLuh-uh-uh-uh-uh-uh-huh\nLuh-uh-uh-uh-uh-uh-huh\nLuh-uh-uh-uh-uh-uh-huh\n[Verse 1: Lil Wayne]\nI fucked around and made a buncha fuck around money\nNow I feel like found money\nI'm fuckin' awesome, 'til awesome have a child for me\nGot homies who ain't comin' home 'til the cows comin'\nNiggas with power, they tryna press our power buttons\nNow baby, make that ass clap like it's proud of me\nShe said, ""I will,"" like ill with an apostrophe\nIts Lil Tunechi, word around on the streets\nThat everythin' is workin' out like obliques, they wanna see it obese\nYou drive me crazy you gon' crash the 'vert\nGet out my business why you act like a clerk\nI got a white girl she call me names like bastard and jerk\nThat's when I send her ass back to the 'burbs\nFucked her right good night, die wit' em open\nI'm wit' a big booty bitch dressed inappropriate\nCocaine, bakin' soda, and some hot water\nKept the fiends comin' back to me, not karma\nSmiled at my first kilo like a proud father\nSmiled at my first judge like I'll be out tomorrow\nKeep the Glock on 'em\nAll eyes on me, I had a Pac moment\nThis a Mannie Fresh beat and I go Pac on it\nMy homeboys proud of me like Barack homies\nYour homeboys tired of me, I hope they die yawnin'\nLeave ya house haunted\nI ain't kiddin', I ain't playin', fuck up your house party\nLil Tunechi"
Used 2,Lil Wayne,,68lOQPb5tX8U2cQRuas0L2,53,2018-09-28,day,0.677,0.665,5,-6.949,1,0.487,0.337,0.0,0.115,0.522,87.637,4,240199,"[Chorus: Lil Wayne]\nI used to smoke to get high, now I smoke to get vibes\nI used to tote the semi, I still tote the semi\nI used to walk a thin line, now I'm walking chin high\nI used to fuck and get tired, now I fuck her ten times\nShe used to make me dick rise, now she make me ribeyes\nShe used to make me six-nine, now she make her friend try\nShe used to make me love her, now she make me realize\nIt's money over bitches 'till the day I dizz-ie\nKeep it on the East Side, \nkeep it on the B-side\nI feel like Ivan Drago, if he dies, he dies\n[Verse 1: Lil Wayne]\nFind out where he reside and find out where he hide\nRun up in that bitch like, ""Hey,"" pop-pop-pop, peace sign\nPercocet, promethazine, you can call me P-Rod\nTaking shots at my team, you must be getting senile\nYou goin' at my slime then you're going at me, slime\nYour blood all over the scene, it look like red cheap wine\nI'm smoking on a key lime, you look like tea time\nLook like honey to my beehive, I close your sweet eyes\nShoot ya in ya head, give ya ass three eyes\nAnd you still ain't seen a fucking thing until you C5\nI remember you, I was never into you\nI tell my shooters, shoot you and whoever resemble you\nAnd every member who had been a friend of you or kin to you\nThey in it too, and bitches too, they mention you, they dentures loose\nRun up in a nigga house, pistol in that nigga mouth\nSafe code now nigga, cough it up or spit it out\nOh my God I'm flipping out, flipping out then dipping out\nI tried to turn the fuckin' page, oh my God, I ripped it out\n[Chorus: Lil Wayne]\nI used to smoke to get high, now I smoke to get vibes\nI used to tote the semi, I still tote the semi\nKeep it on the East Side, keep it on the B-side\nI feel like Ivan Drago, lil bitch, and if he dies, he dies\nIf he dies, he dies\nIf he dies, he dies\nIf he dies, he dies\nYeah, run up in that nigga house, pistol in that nigga mouth\nBut he be talking out his ass, what is all that shit about?"
RAP DEVIL,Machine Gun Kelly,,63TyoT9Ee03rQxv8xmdJ2l,62,2018-09-08,day,0.895,0.839,0,-4.512,1,0.227,0.217,3e-06,0.239,0.756,149.951,4,286117,"[Intro]\nOh my God, Ronny\n[Verse 1]\nAyy, somebody grab him some clippers (Zzzzt)\nHis fuckin' beard is weird\nTough talk from a rapper payin' millions for security a year\n""I think my dad's gone crazy,"" yeah, Hailie, you right\nDad's always mad cooped up in the studio, yellin' at the mic\nYou're sober and bored, huh? (I know)\n'Bout to be forty-six years old, dog\nTalkin' 'bout ""I'ma call up Trick Trick""\nMan, you sound like a bitch, bitch\nMan up and handle your shit (Ugh)\nMad about somethin' I said in 2012\nTook you six years and a surprise album just to come with a diss (Huh)\nHomie, we get it, we know that you're the greatest rapper alive\nFuckin' dweeb, all you do is read the dictionary and stay inside\nFuck ""Rap God,"" I'm the Rap Devil\nComin' bare-faced with a black shovel\nLike the Armageddon when the smoke settle\nHis body next to this instrumental, I'm sayin'\n[Chorus]\nI'm sick of them sweatsuits and them corny hats, let's talk about it\nI'm sick of you bein' rich and you still mad, let's talk about it\nBoth of us single dads from the Midwest, we can talk about it\nOr we could get gully, I'll size up your body and put some white chalk around it (Ayy)\n[Verse 2]\nLet's talk about the fact you actually blackballed a rapper\nThat's twice as young as you (Let's talk about it)\nLet's call Sway\nAsk why I can't go up to Shade 45 because of you (Brrt)\nLet's ask Interscope\nHow you had Paul Rosenberg tryin' to shelf me (Huh?)\nStill can't cover up the fact\nYour last four albums is as bad as your selfie\nNow tell me, what do you stand for? (What?)\nI know you can't stand yourself (No)\nTryin' to be the old you so bad, you Stan yourself (Ha)\nLet's leave all the beefin' to 50 (Please)\nEm, you're pushin' fifty\nWhy you claimin' that I'ma call Puff\nWhen you the one that called Diddy? (Facts)\nThen you went and called Jimmy (Facts)\nThey conference called me in the morning (What?)\nThey told me you mad about a tweet\nYou wanted me to say sorry (What?)\nI swear to God I ain't believe him (Nah)\nPlease say it ain't so (No)\nThe big bad bully of the rap game can't take a fuckin' joke\nOh, you want some fuckin' smoke (What?)\nBut not literally, you'll choke\nYeah, I'll acknowledge you're the G.O.A.T\nBut I'm The Gunner, bitch, I got you in the scope (Brrah)\nDon't have a heart attack now (No)\nSomebody help your mans up (Help)\nKnees weak of old age, The Real Slim Shady can't stand up"
Demon,Lil Wayne,,1kaxyXcAi5ZHF3Q94QXsHK,53,2018-09-28,day,0.754,0.615,4,-5.346,0,0.171,0.275,0.0,0.13,0.349,140.036,4,214314,"[Verse 1]\nSleepin' with the enemy, my demons are too intimate\nShe's sleepin' very gently so now they're startin' to enter it\nAnd now they're startin' to mentor me, geekin’ like Brittany\nTweakin' my energy, eat and die sympathy\nScream and cry infamy, come alive mentally\nAnd love die physically, my love cry miserably\nHugs gettin' looser, her tongue tied kissin' me\nShe fucked thy niggas, see now they both iggin' me\nBut demons got dignity, demons got memories\nI had a lil' revenge in me, so now I'm at sentencin'\n'Bout to stop gigglin' and dinner start sizzlin'\n[Bridge]\nA demon, with demands, a demon, with demands\nShe agree to my demands too\nBrought the demon out her ass too\nI'm a demon, I demand you\n[Chorus]\nA demon with demands, a demon with demands\nI'm a demon with demands, I got demons on demand\nYeah, yeah, yeah, I'm a demon, I demand you\nYou brought the demon out the man, ooh\nBrought the demon out the man, ooh\nThe demon out the man, you\nBrought the demon out the man, ooh\n[Refrain]\nYou done pulled the demon out the man, pulled the demon out the pants\nPut the demon in your mouth then pulled it clean up out your ass\nTook her demon by the hands, asked the demon, ""Can we dance?""\nFound a halo in her trash but she don't talk about her past\n[Bridge 2]\nA demon, with demands, a demon, with demands\nA demon, with demands, a demon, with demands\n[Chorus 2]\nA demon with demands, a demon with demands\nI'm a demon with demands, I got demons on demand\nYeah, yeah, yeah, I'm a demon by demand too\nYeah, brought the demon out the man, ooh\nShe agree to my demands too\nYou done brought the demon out the man, ooh\nBrought the demon out her ass too"
Perfect Strangers,Lil Wayne,,4E3qImtJzRqLt8ZZyLceOE,52,2018-09-28,day,0.746,0.644,7,-2.605,1,0.232,0.4,0.0,0.095,0.542,146.187,4,249751,"[Intro]\nYeah, yeah\nMmm...\n[Chorus]\nI don't know who you are anymore\nTalkin' to the man in her mirror\nThat been fuckin' with these bitches\nAnd it's dangerous, sleepin' with these strangers\nEvery night a different woman, doin' the same shit\nBut, you don't even call anymore\nAnd you don't even care, so who am I to love anyone?\nI know it's fucked up\nDifferent city, switchin' women\nPuttin' cups up, gettin' fucked up\n[Post-Chorus]\nAnd, we don't even talk anymore\nAin't got no time to spare\nSo who are we to trust anyone?\nAnd that's what's fucked up\nWe gon' end up by ourselves and not each other\nAnd that's so fucked up\n[Verse 1]\nDamn, love don't live here\nLove, I don't live here\nShe say, ""Why you leave your shit here?""\nI'm tryna be sincere\nWhen we both know it ain't right\nShe hate that we can get loose\nBut I can never hang tight\nBut, we don't even make love anymore\nActin' like our phone got our attention\nThough we watchin' television, and it's painless\nWe act like we strangers\nI just don't know who we are anymore, damn\nI'm not supposed to be here\n'Cause love don't live here\nBut I'm here, and she here\nShe tell me stay all night\nShe just want a refill\nAnd then she want to start fights\n'Bout ""What about how she feel?""\nShe tell me I'm a cheap thrill\nI know she don't mean that\nShe think I feed her lies\nBut I don't get no feedback\nAs she watch me pack\n""Baby where my keys at?""\nKiss her on the forehead and tell her that I'll be back\nHer teeth smacked"
Dope New Gospel (feat. Nivea),Lil Wayne,Nivea,7cG6SxmQ24hQWnR8UThrk2,50,2018-09-28,day,0.651,0.718,0,-3.924,1,0.302,0.227,0.0,0.109,0.402,116.772,4,207187,"[Intro]\nMan in the mirror, my hero\nHe helped me center my ego\nWhen I think I'm bad like Michael\nHe bring me back down to Tito\nMan in the mirror\n,, my hero\nHe helped me see like a eagle\nHe helped me hear enemies cry wolf\nThen he see me take off my sheep clothes\n[Verse 1]\nHasta la vista, adios\nBeat the odds like mosquitoes\nKeep in mind I'm a negro\nSo my open mind got a screen door\nBitches wan' come play the lead role\nAnd end up with nothin' but B-roll\nSit on the dick in a C-4\nThen I come back with a cheat code\nPill bottle only half full\nBut fuck it, my nigga, I'm past good\nSexy bitch rubbin' my tats good\nBut before she do, bitch, wash yo' hands good\nI'm flexin' muscles that you can't pull\nYou can't make a fist 'cause I'm a handful\nI never really knew my dad good\nBut still grew up to be the big bad wolf\nYou always see me with the white cup\nSome people say that is a bad look\nBut take a good look at what you are lookin' at\nYou never know when it's your last look\nIt's written all over my face\nIt's tattooed, it can't be erased\nOne of a kind, I can't be replaced\nIn case that mirror breaks\n[Chorus: Nivea]\nWell it's been way too long\nAnd I wonder what it's been like\nTryna get back right with ya\n'Cause I've been on my own\nOr at least that's what it feels like\nWanna get back right with ya\nIt's been way too long\nAnd I wonder what it's been like\n[Post-Chorus: Lil Wayne]\nYeah, yeah, yeah, yeah\nMan in the mirror, my hero\nHe helped me center my evil\nI see the fire in his eyes\nBut he keep my blood temperature zero\nMan in the mirror, my 'migo\nCrème de la crème de la Créole\nCouple a cracks in the mirror\nEven through the cracks, I see no cracks in me though\n[Verse 2]\nDaytime start to turn black\nEverything stop like start to twirl\nThank God Weezy back\nOrder is restored, all is right with the world\nLast time become lost time\nNo free time, 'til I bought time\nNo tea time, no off time\nNo me time, on y'all time\nBlessings shower from the north side\nFrom the brightest flower out the darkest skies\nLove is blind but we caught eyes\nIt's a bumpy road but a joyride\nStill can't ignore my rappetite\nLike a hungry shark in a koi pond\nStill the motherfuckin' best rapper, a-live\nNigga, y'all died"
Head Above Water,Avril Lavigne,,7gY3cyGcB2wnk2xDXiA0pe,67,2019-02-15,day,0.578,0.694,5,-5.351,1,0.0706,0.0112,0.0,0.102,0.268,129.921,4,220850,"[Verse 1]\nI've gotta keep the calm before the storm\nI don’t want less, I don't want more\nMust bar the windows and the doors\nTo keep me safe, to keep me warm\nYeah, my life is what I'm fighting for\nCan’t part the sea, can't reach the shore\nAnd my voice becomes the driving force\nI won't let this pull me overboard\n[Chorus]\nGod, keep my head above water\nDon't let me drown, it gets harder\nI'll meet you there, at the altar\nAs I fall down to my knees\nDon't let me drown, drown, drown\nDon't let me, don't let me, don’t let me drown\n[Verse 2]\nSo pull me up from down below\n’Cause I'm underneath the undertow\nCome dry me off and hold me close\nI need you now, I need you most\n[Chorus]\nGod, keep my head above water\nDon’t let me drown, it gets harder\nI'll meet you there, at the altar\nAs I fall down to my knees\nDon't let me drown, drown, drown\nDon't let me, don’t let me, don't let me drown\nDon't let me drown, drown, drown\n(I keep my head above water, above water)\nDon't let me, don't let me, don't let me drown\n[Bridge]\nAnd I can't see in the stormy weather\nI can't seem to keep it all together\nAnd I, I can't swim the ocean like this forever\nAnd I can't breathe\nGod, keep my head above water\nI lose my breath, at the bottom\nCome rescue me, I'll be waiting\nI'm too young to fall asleep"
Perfect,Ed Sheeran,,0tgVpDi06FyKpA1z0VMD4v,87,2017-03-03,day,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,263400,"[Verse 1]\nI found a love for me\nOh, darling, just dive right in and follow my lead\nWell, I found a girl, beautiful and sweet\nOh, I never knew you were the someone waiting for me\n[Pre-Chorus]\n'Cause we were just kids when we fell in love\nNot knowing what it was\nI will not give you up this time\nBut darling, just kiss me slow, your heart is all I own\nAnd in your eyes, you're holding mine\n[Chorus]\nBaby, I'm dancing in the dark with you between my arms\nBarefoot on the grass, listening to our favourite song\nWhen you said you looked a mess, I whispered underneath my breath\nBut you heard it, darling, you look perfect tonight\n[Verse 2]\nWell I found a woman, stronger than anyone I know\nShe shares my dreams, I hope that someday I'll share her home\nI found a love, to carry more than just my secrets\nTo carry love, to carry children of our own\n[Pre-Chorus]\nWe are still kids, but we're so in love\nFighting against all odds\nI know we'll be alright this time\nDarling, just hold my hand\nBe my girl, I'll be your man\nI see my future in your eyes\n[Chorus 2]\nBaby, I'm dancing in the dark, with you between my arms\nBarefoot on the grass, listening to our favourite song\nWhen I saw you in that dress, looking so beautiful\nI don't deserve this, darling, you look perfect tonight"
