song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Dueling Tubas,Martin Mull and Orchestra,,,,,,,,,,,,,,,,,,,
Ain't No Woman (Like The One I've Got),Four Tops,,6q8NBpF6twALMb86FBpLgQ,53,1972-01-01,day,0.562,0.592,2,-9.694,0,0.0393,0.33,1.25e-05,0.0882,0.869,99.05,4,187773,"[Intro: The Four Tops]\nAin't no woman like the one I've got\nAin't no woman like the one I've got\nAin't no woman like the one I've got\n[Verse 1: Levi Stubbs]\nEvery day the sun comes up around her\nShe can make the birds sing harmony\nEvery drop of rain is glad it found her\nHeaven must have made her just for me\nWhen she smiles, so warm and tender\nA sight for sore eyes to see, hoo\n[Chorus: The Four Tops, \nLawrence Payton\n, \nObie Benson\n & \nDuke Fakir\n]\nAin't no woman like the one I've got\n(\nOh no, they don't come better\n)\nTo make her happy doesn't take a lot\n(\nShe don't ask for things, no diamond rings\n)\nSewed together, like a hand in glove\n(\nLike pages in a letter\n)\nAin't no woman like the one I love\n[Verse 2: Levi Stubbs & \nThe Four Tops\n]\nShe can build me up when it's down I'm goin' (\nI'm goin'\n)\nPut a little music in my day\nWouldn't be surprised if my love keeps growin' (\nIt keeps growin'\n)\nBigger every minute that she stays away\nI would kiss the ground she walks on\n'Cause it's my word, my word she'll obey now, woo-hoo\n[Chorus: The Four Tops, \nLawrence Payton\n, \nObie Benson\n & \nDuke Fakir\n]\nAin't no woman like the one I've got\n(\nWell, I kiss the ground she walks on\n)\nTo make her happy doesn't take a lot\n(\nShe's a real good friend right to the end\n)\nSewed together like a hand in glove\n(\nI'm a lonely man when she's gone\n)\nPeople, ain't no woman like the one I love"
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,,3QgSJ9CqgLPk9B4xLdwLrS,58,1973,year,0.511,0.346,5,-14.28,1,0.0388,0.685,0.000124,0.294,0.599,140.29,4,264267,
Stir It Up,Johnny Nash,,4UvXfxg1ommzERwd6JVIHv,43,1972,year,0.654,0.38,2,-13.238,1,0.0924,0.121,0.0103,0.146,0.851,84.583,4,182467,"Stir It Up\nBob Marley\nStir it up, little darling, stir it up\nCome on baby come on and stir it up little darling, stir it up\nIt's been a long long time since I've got you on my mind\nAnd now you are here\nI say it's so clear\nTo see what we can do baby, just me and you\nCome on and stir it up, little darling, stir it up\nCome on baby come on and stir it up. little darling, stir it up\nI'll push the wood, I'll blaze your fire\nThen I'll satisfy your heart's desire\nSaid I'll stir it up, yeah, ev'ry minute, yeah\nAll you got to do baby, is keep it in\nAnd stir it up, little darling, stir it up\nCome on and stir it up, oh, little darling, stir it up, yeah\nOh, will you quench me when I'm thirsty?\nCome and cool me down baby, when I'm hot\nYour recipe, darling, is so tasty\nAnd you sure can stir your pot\nSo stir it up, little darling, stir it up\nCome on and stir it up, oh, little darling, stir it up\nCome on and stir it up, oh, little darling, stir it up"
Killing Me Softly With His Song,Roberta Flack,,3gsCAGsWr6pUm1Vy7CPPob,72,1973-01-01,day,0.476,0.381,5,-10.238,0,0.0342,0.727,0.0,0.0614,0.33,121.948,4,286920,[Chorus]\nStrumming my pain with his fingers\nSinging my life with his words\nKilling me softly with his song\nKilling me softly with his song\nTelling my whole life with his words\nKilling me softly with his song\n[Verse 1]\nI heard he sang a good song\nI heard he had a style\nAnd so I came to see him\nTo listen for a while\nAnd there he was this young boy\nA stranger to my eyes\n[Chorus]\nStrumming my pain with his fingers\nSinging my life with his words\nKilling me softly with his song\nKilling me softly with his song\nTelling my whole life with his words\nKilling me softly with his song\n[Verse 2]\nI felt all flushed with fever\nEmbarrassed by the crowd\nI felt he found my letters\nAnd read each one out loud\nI prayed that he would finish\nBut he just kept right on\n[Chorus]\nStrumming my pain with his fingers\nSinging my life with his words\nKilling me softly with his song\nKilling me softly with his song\nTelling my whole life with his words\nKilling me softly with his song\n[Verse 3]\nHe sang as if he knew me\nIn all my dark despair\nAnd then he looked right through me\nAs if I wasn't there\nAnd he just kept on singing\nSinging clear and strong
One Man Band (Plays All Alone) - Single Version,Ronnie Dyson,,6vZh25BRVYeEHQRGHEhJ7r,16,1970-05-01,day,0.39,0.708,5,-8.518,1,0.0387,0.359,8.73e-06,0.402,0.731,173.64,4,219560,"All my life I’ve been alone but I’ve never really cared\nJust a face inside a crowd a stranger everywhere\nEveryone I’ve ever known has disappointed me\nI live and breathe only for me\nNo one’s ever been inside the wall surrounding me\nI depend on me myself to keep me company\nNo one cares about me so I take good care of me\nI’m in a world all of my own\nOh a one man band plays all alone, he plays to a song of his own\n(Yes he does, yes he does, yes he does)\nOh a one man band plays all alone, he plays to a song of his own\nAnd I’m so self-contented that it sometimes frightens me\nI can do most anything with no one helping me\nI’m concerned in everything that’s for the good of me\nNo one but me cares about me\nAnd each man is the master of his own destiny\nAnd I can surely best determine what is right for me\nIf I had the chance to chance to change my life I wouldn’t dare\nDoing okay living this way\nOh a one man band plays all alone, he plays to a song of his own\n(Yes he does, yes he does, yes he does)\nOh a one man band plays all alone, he plays to a song of his own\n(bridge)\nOh a one man band plays all alone, he plays to a song of his own\n(Yes he does, yes he does, yes he does)\nOh a one man band plays all alone, he plays to a song of his own\n(Yes he does, yes he does, yes he does)\nOh a one man band plays all alone, he plays to a song of his own\n(Yes he does, yes he does, yes he does)\nOh a one man band plays all alone, he plays to a song of his own\n(fade...)"
Who Was It?,Hurricane Smith,,0kMGzfjUkE4pYUCuVaO0Ir,14,2012-01-01,day,0.567,0.655,7,-9.301,1,0.0359,0.0938,0.0,0.342,0.776,118.661,4,185227,
Dancing to Your Music,Archie Bell & The Drells,,6CP6aBUvs3QuXLHaxJD5Hj,13,2019-04-26,day,0.57,0.625,10,-10.742,1,0.0348,0.0796,0.000771,0.125,0.875,123.551,4,175427,
If We Try,Don McLean,,14YN8k7YtCRD5hUAMp386G,38,1972-11-01,day,0.559,0.327,2,-16.224,1,0.0336,0.851,0.000307,0.125,0.507,109.959,4,216573,"When I see you on the street, I lose my concentration\nJust the thought that we might meet creates anticipation\nWon't you look my way once before you go\nAnd my eyes will say what you ought to know\nWell I've been thinkin' about you day and night\nAnd I don't know if it'll work out right\nBut somehow I think that it just might\nIf we try\nFaces come and faces go, in circular rotation\nBut something yearns within to grow beyond infatuation\nWon't you look my way once before you go\nAnd my eyes will say what you ought to know\nWell you've got me standin' deaf and blind\n'Cause I see love is just a state of mind\nAnd who knows what it is that we might find\nIf we try\nYou're walkin' a different direction from most people I've met\nYou're givin' me signs of affection I don't usually get\nI don't want you to pledge your future\nThe future's not yours to give\nJust stand there a little longer\nAnd let me watch while you live\n'Cause when I see you on the street, I lose my concentration\nAnd just the thought that we might meet creates anticipation\nWon't you look my way once before you go\nAnd my eyes will say what you ought to know\nWell, I've been thinkin' about you day and night\nAnd I don't know if it'll work out right\nBut somehow I think that it just might\nIf we try\nSomehow I think that it just might\nIf we try\nYes, somehow I think that it just might\nIf we try"
Break Up To Make Up,The Stylistics,,5Vgx4jtn7Xf7KEIogHIcCZ,47,1975,year,0.583,0.301,4,-10.598,1,0.0243,0.883,0.0,0.334,0.337,79.364,3,239840,"Tell me what's wrong with you now , tell me why I\nNever seem to make you happy though heaven knows I try\nWhat does it take to please you? Tell me just how\nI can satisfy you woman, you're drivin' me wild\nBreak up to make up, that's all we do\nFirst you love me then you hate me\nThat's a game for fools\nBreak up to make up that's all we do\nFirst you love me then you hate me\nThat's a game for fools\nWhen I come home from workin', you're on the phone\nTalkin' about how bad I treat you, now tell me I'm wrong\nYou say it's me who argues, I'll say it's you\nWe have got to get together or baby, we're through\nBreak up to make up, that's all we do\nFirst you love me then you hate me\nThat's a game for fools\nBreak up to make up, that's all we do\nYeah, first you love me then you hate me\nThat's a game for fools\nBreak up to make up, that's all we do\nYeah, first you love me then you hate me\nThat's a game for fools\nBreak up to make up, that's all we do\nFirst you love me then you hate me\nThat's a game for fools"
